trial,cv_rmse,train_rmse,kernel_name,kernel_variance,likelihood_noise_variance,ls_an,ls_cat,ls_cross
74,0.7217549375498827,0.08844285361842716,RBF,1.245913666909921e-05,0.0004828666879579146,2.824803722181825,8.3131059163013,8.865031231988288
75,0.5006495393060767,0.06841234215269462,RationalQuadratic,0.0005516984410133265,0.0001516905324993409,0.04624358834196895,4.498317804654974,55.08798496412911
76,0.5942804673032726,0.05295262707377431,RBF,0.00291351263382179,0.00023892884184879512,0.08118636615453213,0.7484727164652131,16.662229153532394
77,0.5558414886086803,0.13522478055818105,Matern32,4.465434843154277e-06,0.0007633982764066018,0.2910344882529275,6.872588885953844,24.734715003441632
78,0.6870959978512239,0.05460595576905466,Matern52,0.005277815886856713,0.0005379672916491162,0.018537792205764975,2.013597551094035,10.990198852654697
79,0.8084459093640189,0.09965989130095884,RBF,0.00016639960986273894,0.003275961916131518,0.028280476641597548,2.850022743656063,5.9011316690080236
80,0.5533926162261832,0.06444722154286467,Matern52,0.0010251821340318695,0.0010818393254683355,1.4850906992685315,0.5135124696657197,67.20604037449496
81,0.9268493380584291,0.0642686647770188,RBF,7.671784199945897e-05,0.0003037633296218934,0.22000727789699573,14.71213322429914,2.9615346393811293
82,0.8696063291441132,0.0636655079430005,RationalQuadratic,0.0002677258872624671,0.002066284759595704,0.48600376086217584,26.30021247036844,1.2300682664259646
83,0.579263441430639,0.10545191511369892,Matern32,0.008664686934305728,0.0071018071368397885,1.0457296343355218,38.83367339097943,17.475748108676203
84,0.5101955366193639,0.19100852153566447,Matern52,0.05788242533070954,0.010031324527683705,23.323236591410197,61.12579848253548,48.694690949218554
85,0.5188799006617781,0.10654456416291132,RBF,1.1017813295150555e-05,0.00036965564768016876,0.04886729286251117,0.3532567187135025,35.79642338279866
86,0.9365717067539855,0.7388487043784597,RBF,1.976227023094491e-06,0.049661181797433084,5.039127076409744,79.66000629686522,7.12076262508017
87,1.0183220790906744,0.18996260791548322,Matern52,0.0332767555104279,0.0994358092797577,0.11879823528058822,5.645622279477706,0.15025906032964426
88,0.6778228722384153,0.07128597190640455,RationalQuadratic,0.01748894077016471,0.004447786592675172,0.7296798120422746,1.3777544611874206,83.69771741144993
89,0.9363351394424535,0.036206774289791986,RBF,0.11452171986632396,0.0006025395227068068,0.014632784112343353,44.62614007622229,0.6568548074224545
