setting,rank,candidate_index,score,is_pareto_within_top50,cation,anion,co2_pred,vis_pred,tox_pred
two_objective,41,64016,0.5009551870260059,False,CCn1cc[nH+]c1,CC(=O)CCC(=O)[O-],0.24840886278694582,-4.334413528442383,3.764691114425659
two_objective,42,61014,0.49782764195524254,False,CC[S+]1CCCC1,O=C([O-])C1CCCN1,0.4122296234076837,-2.148355484008789,3.8727195262908936
two_objective,43,75261,0.4974709383200417,False,C[NH+]1C=CN=C1,CC(=O)CCC(=O)[O-],0.24298774630458858,-4.082963943481445,3.5393474102020264
two_objective,44,16192,0.49121376021527274,True,CCCCCCCC[NH+](CCCCCCCC)CCCCCCCC,NCC(=O)[O-],0.5210938242044042,-2.420808792114258,1.0723769664764404
two_objective,45,75312,0.48916837188616336,False,C[NH+]1C=CN=C1,CO[PH](=O)[O-],0.21760513409335552,-4.131349563598633,3.643376111984253
two_objective,46,87039,0.48802133846902923,False,[NH3+]CNCCO,CC1(C(=O)[O-])CCCN1,0.38920038253008,-2.549814224243164,3.84016489982605
two_objective,47,48716,0.48754953081412067,True,CCC[NH+](C)CCC,NCC(=O)[O-],0.5995151858892439,-1.8609027862548828,3.4412314891815186
two_objective,48,80970,0.4834774601281687,False,Cc1cccc[nH+]1,CC(=O)CCC(=O)[O-],0.2473121483888069,-4.331926345825195,3.6337859630584717
two_objective,49,75358,0.4818511649691031,False,C[NH+]1C=CN=C1,NCC(=O)[O-],0.3104425565557833,-3.465791702270508,3.542464017868042
two_objective,50,81082,0.4703717085332476,False,Cc1cccc[nH+]1,O=C([O-])C1CCCN1,0.4085131546425459,-2.318239212036133,3.764012098312378
