rank,candidate_index,cation,anion,il_smiles,fw_aei_score,co2_pred,co2_std,vis_pred,vis_std,tox_pred,tox_std,pareto_within_selected_set
54,75276,C[NH+]1C=CN=C1,CC1=CC(=O)[N-]S(=O)(=O)O1,C[NH+]1C=CN=C1.CC1=CC(=O)[N-]S(=O)(=O)O1,0.27935110536645547,0.2341011115177414,0.167841369607135,-3.5989856719970703,1.2385576583475848,3.624554395675659,2.970422695148622,False
55,36768,CCCC[N+]1C=CC=C(C(=O)[O-])C1,N#C[C-](C#N)C#N,CCCC[N+]1C=CC=C(C(=O)[O-])C1.N#C[C-](C#N)C#N,0.27830061375582815,0.26092045819157966,0.1902859590380562,-3.187562942504883,1.0946970517947556,3.5637176036834717,2.7069057418990643,False
56,36788,CCCC[N+]1C=CC=C(C(=O)[O-])C1,O=C(O[B-](F)(F)OC(=O)C(F)(F)F)C(F)(F)F,CCCC[N+]1C=CC=C(C(=O)[O-])C1.O=C(O[B-](F)(F)OC(=O)C(F)(F)F)C(F)(F)F,0.2729687683121393,0.2634955478174361,0.19151089228987236,-3.0963916778564453,1.1930036998093463,3.530747175216675,3.0294160309112854,False
57,59705,CC[P+](CC)(CC)CSC,CC1(C(=O)[O-])CCCN1,CC[P+](CC)(CC)CSC.CC1(C(=O)[O-])CCCN1,0.2650080949628295,0.4092388547926298,0.19069812393734717,-2.197023391723633,1.3313117447266187,3.435124158859253,2.6461840019230882,False
58,48635,CCC[NH+](C)CCC,CCC(=O)[O-],CCC[NH+](C)CCC.CCC(=O)[O-],0.2623882891709283,0.39486012573743273,0.16053502794917185,-2.5211353302001953,1.1484433128573128,3.524775266647339,2.373346455819931,False
59,1404,C=CC[NH+](C)CC=C,CC1(C(=O)[O-])CCCN1,C=CC[NH+](C)CC=C.CC1(C(=O)[O-])CCCN1,0.2602178628117571,0.39046214326331846,0.20128416941948962,-2.2504444122314453,1.2636576302387332,3.6620795726776123,2.873252835337316,False
60,48460,CCC[NH+](C)C,CC1(C(=O)[O-])CCCN1,CCC[NH+](C)C.CC1(C(=O)[O-])CCCN1,0.2519307242932395,0.4278079342292131,0.1959923295625603,-2.251283645629883,1.1427844260702404,3.6215178966522217,2.607428641435509,False
61,65324,CN1CCC[NH+]2CCCN=C12,NCC(=O)[O-],CN1CCC[NH+]2CCCN=C12.NCC(=O)[O-],0.24873274796793124,0.3797994783655545,0.10770061226190762,-2.868013381958008,1.3738504719808038,3.5161101818084717,3.2384046432122577,False
62,58923,CC[NH2+]CC,NCC(=O)[O-],CC[NH2+]CC.NCC(=O)[O-],0.24723015039502697,0.39250391590000866,0.1063058490608995,-2.787782669067383,1.2135911475750782,3.6204612255096436,2.8563246168411007,False
63,75382,C[NH+]1C=CN=C1,O=C1[N-]S(=O)(=O)c2ccccc21,C[NH+]1C=CN=C1.O=C1[N-]S(=O)(=O)c2ccccc21,0.24372282120672276,0.22631842269259525,0.16053177617333086,-3.8350391387939453,1.228837545696989,3.307915449142456,2.735134433462112,False
64,64286,CCn1ccc[n+]1C,NCC(=O)[O-],CCn1ccc[n+]1C.NCC(=O)[O-],0.24364456805182036,0.3993737154486695,0.08676954164868482,-2.875917434692383,1.4068152245423093,3.6941001415252686,2.8017921911013848,False
65,53041,CCOCC[NH+](C)C,NCC(=O)[O-],CCOCC[NH+](C)C.NCC(=O)[O-],0.24362923826010877,0.4699428373768992,0.11634059369098047,-2.147310256958008,1.1203747613649753,3.822624921798706,3.0231250532496086,True
66,74848,C[NH+](CCO)CCO,O=C(O[B-](F)(F)OC(=O)C(F)(F)F)C(F)(F)F,C[NH+](CCO)CCO.O=C(O[B-](F)(F)OC(=O)C(F)(F)F)C(F)(F)F,0.24024347555912032,0.4459659789606754,0.13148370989639402,-2.0574817657470703,1.3027693759499979,3.5643508434295654,3.067778883912368,False
67,75373,C[NH+]1C=CN=C1,O=C([O-])C1CCCN1,C[NH+]1C=CN=C1.O=C([O-])C1CCCN1,0.24007711696748585,0.3690667736748768,0.19532976931606139,-2.303804397583008,1.256774806008329,3.664759397506714,3.0395719204209697,False
68,63248,CCn1cc(C)[n+](CC)c1,NCC(=O)[O-],CCn1cc(C)[n+](CC)c1.NCC(=O)[O-],0.24006955260351487,0.39857541788361855,0.09279727788122015,-2.756052017211914,1.4276457836046776,3.5871589183807373,2.990478984014602,False
69,48543,CCC[NH+](C)C,NCC(=O)[O-],CCC[NH+](C)C.NCC(=O)[O-],0.23722118889674676,0.47932835550062,0.10993390762148064,-2.111085891723633,1.1547495411064457,3.4977214336395264,2.9493458297331387,True
70,61172,CC[n+]1cc(C)n(C)c1,NCC(=O)[O-],CC[n+]1cc(C)n(C)c1.NCC(=O)[O-],0.23199369413233029,0.39565473283507036,0.09662540371300554,-2.715677261352539,1.4509024081073,3.465845823287964,3.142852145352044,False
71,58231,CC[NH+](C)CC,NCC(=O)[O-],CC[NH+](C)CC.NCC(=O)[O-],0.22573914662764086,0.4959816388246777,0.10966891607804198,-1.9882831573486328,1.1511119918858739,3.597325086593628,2.862566391620559,True
72,36716,CCCC[N+]1C=CC=C(C(=O)[O-])C1,CCCCCCCCP(=O)([O-])[O-],CCCC[N+]1C=CC=C(C(=O)[O-])C1.CCCCCCCCP(=O)([O-])[O-],0.2251384144822897,0.26445978351849303,0.19197239816747494,-3.121553421020508,0.9761508226509694,3.1325557231903076,3.655175597307982,False
73,58148,CC[NH+](C)CC,CC1(C(=O)[O-])CCCN1,CC[NH+](C)CC.CC1(C(=O)[O-])CCCN1,0.22141989763287126,0.43396580541691065,0.19670235090534746,-2.1302967071533203,1.1403100611001233,3.7355964183807373,2.482029893662824,False
74,74828,C[NH+](CCO)CCO,N#C[C-](C#N)C#N,C[NH+](CCO)CCO.N#C[C-](C#N)C#N,0.22068116888391054,0.4544505853628026,0.11963859707147241,-2.0235462188720703,1.2603429136950461,3.627617597579956,2.7738091018383297,False
75,75450,C[NH+]1CCCC1=O,CCC(=O)[O-],C[NH+]1CCCC1=O.CCC(=O)[O-],0.21484930016180442,0.22785258860594837,0.1280964773670245,-5.755037307739258,0.6854897934496731,3.641075849533081,2.866932039028175,True
76,74527,C[NH+](C)C,O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,C[NH+](C)C.O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,0.21185156704528355,0.2272726215892415,0.13251526836127928,-4.908723831176758,0.9895391789005284,3.567742109298706,2.7252375053005253,False
77,64137,CCn1cc[nH+]c1,O=C1[N-]S(=O)(=O)c2ccccc21,CCn1cc[nH+]c1.O=C1[N-]S(=O)(=O)c2ccccc21,0.2117264133638521,0.2206022202222256,0.1565019686543328,-4.069398880004883,1.1280012892418116,3.3576133251190186,1.2408562970689176,False
78,60999,CC[S+]1CCCC1,NCC(=O)[O-],CC[S+]1CCCC1.NCC(=O)[O-],0.2101823113741782,0.4069953387544241,0.08765071059861453,-2.535402297973633,1.4270756946368566,3.716992139816284,2.807520378765764,False
79,36759,CCCC[N+]1C=CC=C(C(=O)[O-])C1,N#CC(C#N)C#N,CCCC[N+]1C=CC=C(C(=O)[O-])C1.N#CC(C#N)C#N,0.20974594997620633,0.26129388333276127,0.19046507780007454,-3.056764602661133,0.9149328473468784,3.5949409008026123,2.7879272201977634,False
80,75892,C[NH3+],O=C([O-])C1CCCN1,C[NH3+].O=C([O-])C1CCCN1,0.20823674561538633,0.4056808741218539,0.19335870476269681,-1.9232654571533203,1.3117900472307338,3.92341685295105,2.4855890726395025,False
81,16111,CCCCCCCC[NH+](CCCCCCCC)CCCCCCCC,CCC(=O)[O-],CCCCCCCC[NH+](CCCCCCCC)CCCCCCCC.CCC(=O)[O-],0.2063700165760995,0.3324357822985192,0.1538928259620792,-3.680391311645508,0.8620506249318386,1.4032771587371826,2.919755462701474,False
82,36760,CCCC[N+]1C=CC=C(C(=O)[O-])C1,N#CN=C=[N-],CCCC[N+]1C=CC=C(C(=O)[O-])C1.N#CN=C=[N-],0.20588211311405002,0.260100216218039,0.18989367345841635,-3.131074905395508,0.7959966493636687,3.6484572887420654,2.4765910920138263,False
83,74406,C[NH+](C)C,CC(N)C(=O)[O-],C[NH+](C)C.CC(N)C(=O)[O-],0.20581961791681233,0.2929627572300971,0.11529706766445943,-4.145509719848633,0.931875139386111,3.7286689281463623,3.097996735109957,False
84,74746,C[NH+](CCO)CCO,CC(=O)[O-],C[NH+](CCO)CCO.CC(=O)[O-],0.20044166569590632,0.5396647791177923,0.12180251205493645,-1.6747760772705078,1.179924442167482,3.866741895675659,1.7619404790699595,True
85,48633,CCC[NH+](C)CCC,CC1(C(=O)[O-])CCCN1,CCC[NH+](C)CCC.CC1(C(=O)[O-])CCCN1,0.1977354408312466,0.4705144185798242,0.20328031133750624,-1.9845905303955078,1.1495340004364747,3.5484397411346436,2.547580644643206,False
