smiles,family,tsne_1,tsne_2,type
CCCC[n+]1cccc2ccccc21,pyridinium,12.666886,22.11029,cation
CCCC[n+]1ccccc1,pyridinium,5.8995733,31.313604,cation
CCCC[n+]1ccccc1C,pyridinium,7.9293795,19.103428,cation
CCCC[n+]1ccn(C(CC)CC)c1,imidazolium,2.7208047,6.734103,cation
CCCC[n+]1ccn(C)c1,imidazolium,-1.7046467,13.076097,cation
CCCC[n+]1ccn(C)c1C,imidazolium,-2.7674725,6.204632,cation
CCCC[n+]1ccn(C2CCCC2)c1,imidazolium,0.1045713,5.8454638,cation
CCCC[n+]1ccn(CC)c1,imidazolium,2.1918066,7.4789677,cation
CCCC[n+]1ccn(CCC#N)c1,imidazolium,3.879332,8.939767,cation
CCCC[n+]1ccn(Cc2ccc(C)cc2)c1,imidazolium,18.848562,18.322615,cation
CCCC[n+]1ccn(Cc2ccccc2)c1,imidazolium,12.68446,25.988699,cation
CCCCc1cccc[n+]1CC,pyridinium,9.578524,19.119421,cation
CCCCn1c(C)cc(C)[n+]1-c1ccccc1,imidazolium,15.237079,24.201544,cation
CCCCn1c[n+](CCCCS(=O)(=O)O)cn1,ammonium,7.242078,7.19923,cation
CCCCn1c[nH+]c2ccccc21,imidazolium,10.418793,22.801533,cation
CCCCn1cc[n+](C)c1,imidazolium,-10.343301,15.652709,cation
CCCCn1cc[n+](C)c1C,imidazolium,-2.5738115,3.8812995,cation
CCCCn1cc[n+](CC)c1,imidazolium,0.997123,8.160989,cation
CCCCn1cc[n+](CCC#N)c1,imidazolium,3.9011478,8.924701,cation
CCCCn1cc[n+](CCC(C)C)c1,imidazolium,3.9759164,6.9313664,cation
CCCCn1cc[n+](CCCC)c1,imidazolium,7.704456,4.5853724,cation
CCCCn1cc[n+](CCCCCCO)c1,imidazolium,13.041559,3.413505,cation
CCCCn1cc[n+](CCCCS(=O)(=O)O)c1,imidazolium,6.953388,6.3851423,cation
CCCCn1cc[n+](CCCS(=O)(=O)O)c1,imidazolium,6.661726,6.340999,cation
CCCCn1cc[n+](CCOCCOCCOCCOCC[n+]2ccn(CCCC)c2)c1,imidazolium,19.183088,8.515857,cation
CCCCn1cc[n+](CCOCCOCCOCC[n+]2ccn(CCCC)c2)c1,imidazolium,18.868195,8.515941,cation
CCCCn1cc[n+](CCOCCOCC[n+]2ccn(CCCC)c2)c1,imidazolium,18.218407,8.478864,cation
CCCCn1cc[n+](CCOCC[n+]2ccn(CCCC)c2)c1,imidazolium,17.752888,8.429783,cation
CCCCn1ccc[n+]1C,imidazolium,0.70407975,11.555177,cation
CCCN,other,-8.350783,-8.200447,cation
CCCOCC[N+]1(C)CCCC1,pyrrolidinium,-28.930962,-27.18997,cation
CCCOCC[n+]1ccccc1,pyridinium,3.7403445,31.654474,cation
CCCOCC[n+]1ccn(C)c1,imidazolium,-1.8528824,12.01266,cation
CCCOC[n+]1cccc(O)c1,pyridinium,8.585114,16.497772,cation
CCC[N+](C)(C)CC,ammonium,0.34907293,-15.662912,cation
CCC[N+](C)(C)CCO,ammonium,-0.23468845,-14.054554,cation
CCC[N+](C)(CC)CC,ammonium,3.0150332,-15.90449,cation
CCC[N+](C)(CC)CCC,ammonium,3.7254598,-15.523288,cation
CCC[N+]1(C)CCCC1,pyrrolidinium,-26.838667,-25.158043,cation
CCC[N+]1(C)CCCCC1,piperidinium,-26.482857,-25.579182,cation
CCC[N+]1(C)CCOCC1,piperidinium,-18.766497,-25.430918,cation
CCC[NH+](C)C,ammonium,-9.300007,-11.527708,cation
CCC[NH+](C)CCC,ammonium,-6.840509,-12.934356,cation
CCC[NH+](CC)CC,ammonium,-6.5948815,-12.538356,cation
CCC[NH3+],ammonium,-8.620481,-8.025457,cation
CCC[S+]1CCCC1,sulfonium,-25.438814,-17.288963,cation
CCC[n+]1cccc(C)c1,pyridinium,5.2503533,18.0644,cation
CCC[n+]1ccccc1,pyridinium,5.3202195,30.256006,cation
CCC[n+]1ccn(C)c1C,imidazolium,-3.6328356,6.3447366,cation
CCC[n+]1cn(C)cn1,ammonium,-4.712654,7.760357,cation
CCCc1cccc[n+]1CC,pyridinium,8.686625,19.933222,cation
CCCn1cc[n+](C)c1,imidazolium,-10.374957,13.737596,cation
CCCn1cc[n+](C)c1C,imidazolium,-3.9906785,4.311241,cation
CCCn1cc[n+](CC)c1,imidazolium,-0.023095421,8.340429,cation
CCN(C)C,other,-10.309979,-13.061203,cation
CCN(CC)c1c(N(CC)CC)[c+]1N(CC)CC,other,6.141865,-8.643724,cation
CCN(CC)c1c(N(CC)CC)c1=[N+](CC)CC,ammonium,6.1426063,-8.6428175,cation
CCN=C(N(C)C)[NH+](C)C,ammonium,-11.688549,-13.46984,cation
CCOC(=O)C[N+](C)(C)CC,ammonium,-0.8051209,-16.922316,cation
CCOC(=O)C[N+]1(C)CCCC1,pyrrolidinium,-29.03858,-24.137169,cation
CCOC(=O)C[n+]1ccccc1,pyridinium,3.8497515,29.35292,cation
CCOC(=O)Cn1cc[n+](C)c1,imidazolium,-11.560798,13.193992,cation
CCOC(=O)c1ccc[n+](CC)c1,pyridinium,5.8595047,18.947462,cation
CCOCC[N+](C)(C)CC,ammonium,0.7591175,-16.687,cation
CCOCC[N+]1(C)CCCC1,pyrrolidinium,-29.059042,-25.947725,cation
CCOCC[N+]1(C)CCCCC1,piperidinium,-28.570969,-26.105179,cation
CCOCC[N+]1(C)CCOCC1,piperidinium,-19.820139,-24.983032,cation
CCOCC[NH+](C)C,ammonium,-8.56828,-12.513585,cation
CCOCC[n+]1ccccc1,pyridinium,3.8597481,30.759012,cation
CCOCCn1cc[n+](C)c1,imidazolium,-9.035106,13.975559,cation
CCOCCn1cc[n+](CC)c1,imidazolium,0.027726855,9.050818,cation
CCOC[N+](C)(C)CC,ammonium,0.12650166,-16.552305,cation
CCOC[N+]1(C)CCCC1,pyrrolidinium,-28.343424,-24.79254,cation
CCOC[N+]1(C)CCCCC1,piperidinium,-28.021452,-25.140396,cation
CCOC[N+]1(C)CCOCC1,piperidinium,-19.358543,-24.494251,cation
CCOC[P+](CC)(CC)CC,phosphonium,4.751355,-22.632898,cation
CCOC[n+]1ccccc1,pyridinium,4.241103,29.942932,cation
CCOC[n+]1ccn(C)c1,imidazolium,-4.0695367,10.773355,cation
CCOCc1n(CC)cc[n+]1C,imidazolium,-3.4231257,5.007275,cation
CCOCn1cc[n+](C)c1,imidazolium,-9.401805,13.316696,cation
CCOn1cc[n+](OCC)c1,imidazolium,-3.9334648,9.046856,cation
CCS(=O)(=O)CCn1cc[n+](C)c1,imidazolium,-13.105012,15.516363,cation
CCSCC[P+](CC)(CC)CC,phosphonium,5.6363835,-22.0049,cation
CC[N+](C)(C)CC#N,ammonium,-3.3114607,-15.948992,cation
CC[N+](C)(C)CCCO,ammonium,-0.7297257,-14.47491,cation
