smiles,family,tsne_1,tsne_2,type,mw
CCCCCCc1cccc[n+]1CC,pyridinium,11.776523,17.10495,cation,192.326
CCCCCCn1c(C)cc(C)[n+]1-c1ccccc1,imidazolium,16.01838,23.734217,cation,257.401
CCCCCCn1c[n+](CCCCS(=O)(=O)O)cn1,ammonium,7.9447675,7.16922,cation,290.40899999999993
CCCCCCn1cc[n+](C)c1,imidazolium,10.231282,1.8302933,cation,167.27599999999998
CCCCCCn1cc[n+](C)c1C,imidazolium,-0.6237485,2.9923072,cation,181.30299999999997
CCCCCCn1cc[n+](CC)c1,imidazolium,8.521241,3.5007915,cation,181.30299999999997
CCCCCCn1cc[n+](CCC#N)c1,imidazolium,10.391128,4.300241,cation,206.31299999999996
CCCCCCn1cc[n+](CCCCCC)c1,imidazolium,14.723464,3.0203764,cation,237.41099999999992
CCCCC[N+](C)(C)CC,ammonium,2.2907174,-13.718522,cation,144.28199999999998
CCCCC[N+](C)(C)CCO,ammonium,1.3093425,-12.989102,cation,160.28099999999998
CCCCC[N+](C)(CC)CC,ammonium,4.061859,-14.304855,cation,158.30899999999997
CCCCC[N+](C)(CCC)CCC,ammonium,5.9913974,-13.046355,cation,186.36299999999997
CCCCC[N+](CC)(CC)CC,ammonium,7.543435,-15.717941,cation,172.33599999999998
CCCCC[N+]1(C)CCCC1,pyrrolidinium,-25.07078,-28.350742,cation,156.29299999999998
CCCCC[N+]1(C)CCOCC1,piperidinium,-19.03836,-27.565193,cation,172.29199999999997
CCCCC[NH3+],ammonium,-0.8315431,-5.6648207,cation,88.174
CCCCC[P+](CC)(CC)CC,phosphonium,6.573648,-21.3572,cation,189.30299999999997
CCCCC[S+]1CCCC1,sulfonium,-26.464027,-17.285704,cation,159.31799999999998
CCCCC[n+]1ccccc1,pyridinium,6.5731344,31.854141,cation,150.245
CCCCC[n+]1ccn(C)c1,imidazolium,-0.99831885,13.278182,cation,153.249
CCCCC[n+]1ccn(CCCC)c1,imidazolium,8.698165,4.3039117,cation,195.32999999999996
CCCCCc1c(C)cc(C)c[n+]1CC,pyridinium,8.040447,-2.163457,cation,206.35299999999998
CCCCCc1c(C)cc(C)c[n+]1CCCC,pyridinium,8.881357,-2.7751968,cation,234.40699999999995
CCCCCc1cccc[n+]1CC,pyridinium,10.798996,18.062977,cation,178.29899999999998
CCCCCn1c(C)cc(C)[n+]1-c1ccccc1,imidazolium,15.62394,24.013948,cation,243.37400000000002
CCCCCn1cc[n+](C)c1,imidazolium,-10.196533,16.680077,cation,153.249
CCCCCn1cc[n+](C)c1C,imidazolium,-1.276515,3.2616987,cation,167.27599999999998
CCCCCn1cc[n+](CCCCC)c1,imidazolium,9.43633,3.8109775,cation,209.35699999999994
CCCCN1C=C[NH+](C)C1,ammonium,-4.5032067,-0.70067674,cation,141.23799999999997
CCCCN1C=C[NH+](CCCC)C1,ammonium,1.7505003,-1.6420205,cation,183.31899999999993
CCCCNC(=O)C[n+]1ccn(CC)c1,imidazolium,2.0194669,7.10755,cation,210.301
CCCCOC(=O)c1nccc[n+]1CCCC,ammonium,3.3586032,4.6543303,cation,237.32299999999998
CCCCOCC(O)CN(CCCn1cc[nH+]c1)C(C)=O,imidazolium,5.2198863,2.4994228,cation,298.40700000000004
CCCCOCC(O)CNCCCn1cc[nH+]c1,imidazolium,5.2287965,2.4992418,cation,256.36999999999995
CCCCOC[n+]1cccc(O)c1,pyridinium,8.734143,16.353989,cation,182.243
CCCC[N+](C)(C)C,ammonium,-0.5028701,-15.3925,cation,116.22799999999998
CCCC[N+](C)(C)C(=N)N(C)C,ammonium,-1.9037865,-12.831194,cation,172.296
CCCC[N+](C)(C)CC,ammonium,1.092294,-15.008867,cation,130.25499999999997
CCCC[N+](C)(C)CCO,ammonium,0.5370836,-13.561753,cation,146.254
CCCC[N+](C)(CC)CC,ammonium,3.454125,-15.074848,cation,144.28199999999998
CCCC[N+](C)(CCC)CCC,ammonium,5.6614385,-13.362868,cation,172.33599999999996
CCCC[N+](C)(CCCC)CCCC,ammonium,6.7857933,-12.629936,cation,200.38999999999993
CCCC[N+](CC)(CC)CC,ammonium,6.8486924,-16.163702,cation,158.30899999999997
CCCC[N+](CCCC)(CCCC)CCCC,ammonium,7.758965,-12.223208,cation,242.4709999999999
CCCC[N+]1(C)CCCC1,pyrrolidinium,-25.695314,-27.24089,cation,142.26599999999996
CCCC[N+]1(C)CCCCC1,piperidinium,-26.061008,-26.845932,cation,156.29299999999995
CCCC[N+]1(C)CCOCC1,piperidinium,-18.84483,-26.642763,cation,158.26499999999996
CCCC[N+]1C=CC=C(C(=O)[O-])C1,piperidinium,1.8050351,12.511936,cation,180.22699999999995
CCCC[NH+]1C=CN=C1,ammonium,-11.510499,4.41586,cation,125.19499999999996
CCCC[NH+]1C=CN=C1c1ccccc1,ammonium,11.115917,23.455997,cation,201.293
CCCC[NH+]1CCCC1,pyrrolidinium,-24.180935,-19.036316,cation,128.23899999999998
CCCC[NH3+],ammonium,-7.213335,-7.865743,cation,74.14699999999999
CCCC[P+](C)(CCCC)CCCC,phosphonium,13.587873,-12.417744,cation,217.3569999999999
CCCC[P+](CC)(CC)CC,phosphonium,5.949165,-21.488565,cation,175.27599999999995
CCCC[P+](CC)(CCCC)CCCC,phosphonium,14.115567,-11.644962,cation,231.3839999999999
CCCC[P+](CCCC)(CCCC)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,phosphonium,-18.465824,4.0662317,cation,549.416
CCCC[P+](CCCC)(CCCC)CCCC,phosphonium,15.516702,-11.589499,cation,259.43799999999993
CCCC[P+](CCCC)(CCCC)CCCN,phosphonium,15.498296,-12.268839,cation,260.42599999999993
CCCC[P+](CCCC)(CCCC)CCSC,phosphonium,14.889217,-12.314164,cation,277.47799999999995
CCCC[P+](CCCC)(CCCC)CCSCC,phosphonium,14.878536,-11.515573,cation,291.505
CCCC[P+](CCCC)(CCCC)COC,phosphonium,14.435811,-12.771572,cation,247.38299999999992
CCCC[P+](CCCC)(CCCC)CSC,phosphonium,14.236709,-12.201129,cation,263.45099999999996
CCCC[S+]1CCCC1,sulfonium,-25.97468,-17.266518,cation,145.29099999999997
CCCC[S+]1CCCCC1,sulfonium,-26.061438,-17.722195,cation,159.31799999999996
CCCC[n+]1cc(C)cc(C)c1,pyridinium,4.0800204,14.694321,cation,164.27199999999996
CCCC[n+]1cc[nH]c1,imidazolium,1.4955926,12.362929,cation,125.19499999999996
CCCC[n+]1ccc(C#N)cc1,pyridinium,6.8518887,14.639591,cation,161.22799999999998
CCCC[n+]1ccc(C)c(C)c1,pyridinium,4.9112577,15.360827,cation,164.27199999999996
CCCC[n+]1ccc(C)cc1,pyridinium,6.2960005,14.534519,cation,150.24499999999998
CCCC[n+]1ccc(N(C)C)cc1,pyridinium,6.2246222,13.552531,cation,179.28699999999998
CCCC[n+]1ccc2ccccc2c1,pyridinium,12.812126,21.989138,cation,186.278
CCCC[n+]1cccc(C#N)c1,pyridinium,6.620298,16.173067,cation,161.22799999999998
CCCC[n+]1cccc(C)c1,pyridinium,5.750935,16.791477,cation,150.24499999999998
CCCC[n+]1cccc(C)c1C,pyridinium,4.5224156,15.951678,cation,164.27199999999996
CCCC[n+]1cccc2ccccc21,pyridinium,12.666886,22.11029,cation,186.278
CCCC[n+]1ccccc1,pyridinium,5.8995733,31.313604,cation,136.21799999999996
CCCC[n+]1ccccc1C,pyridinium,7.9293795,19.103428,cation,150.24499999999995
CCCC[n+]1ccn(C(CC)CC)c1,imidazolium,2.7208047,6.734103,cation,195.32999999999996
CCCC[n+]1ccn(C)c1,imidazolium,-1.7046467,13.076097,cation,139.22199999999998
CCCC[n+]1ccn(C)c1C,imidazolium,-2.7674725,6.204632,cation,153.24899999999997
CCCC[n+]1ccn(C2CCCC2)c1,imidazolium,0.1045713,5.8454638,cation,193.31399999999994
