trial,cv_rmse,train_rmse,kernel_name,kernel_variance,likelihood_noise_variance,ls_an,ls_cat
81,0.5437772436882996,0.24105832712335315,Matern32,2.357081174205765,0.0136677465739435,37.31781812520109,95.69617721543511
82,0.6035383477044522,0.41950348061496834,Matern32,0.045398817372244354,0.006319571848212149,5.816705274425909,64.57539987069778
83,0.8574873679876603,0.16034722410018432,Matern32,0.31373899205718786,0.002109685378003033,0.8100298380456671,0.09143584536827729
84,0.550491176641773,0.28882204959532204,RBF,0.6886236563790229,0.07388522407728207,17.620604635889293,21.68736178611339
85,0.7905690685708571,0.6154609242804004,Matern32,0.01622952231918359,0.023623070305685136,24.098379262737676,9.0664109439637
86,0.939406320832596,0.805279089324477,Matern32,0.002056319202236574,0.008242966097717346,0.04430731917168264,3.4205956963658637
87,0.6999312823190419,0.2590324288315572,RBF,1.1720316663372214,0.05115463605771964,99.92996927113496,5.2286402872974005
88,0.5506322537422064,0.2776569719703736,Matern32,0.09489585726273005,0.0013793493796456985,2.178896291981504,99.33385671861006
89,0.7872953048126868,0.6808760384364335,Matern32,0.007532102964850957,0.0036017162539911532,1.345266111034213,79.77590066985631
90,0.5824885932363422,0.2411113744414107,Matern32,0.22676968602072348,0.01698004546439578,4.792113538102806,15.610542233068038
91,1.0733665266950487,1.0631649201390219,RBF,0.0033236917435064688,0.13199138462711446,73.12034963507286,27.135824116370173
92,1.0593716676568503,1.04005053004154,Matern32,0.01013846284083514,0.21063564075255697,11.902907415216506,45.02277496451853
93,1.093241719894555,1.0870191628833659,Matern32,5.4457763477464625e-06,0.03502949717973657,7.693998382339357,0.022025626884145406
94,0.7505774469231616,0.19646063854997317,Matern32,0.11559113189241473,0.004931886170755998,29.608560691933477,1.758848444193027
95,1.0932712716857673,1.0871328929224373,RBF,1.0771427977133495e-06,0.008479496069594746,55.58621198659606,0.05872472622008562
96,0.554283336982196,0.2948643896161101,Matern32,0.05851266474099879,0.0022504281500952132,0.17576704735529686,67.46067361371897
97,0.6432140848605818,0.2091269165590413,Matern32,0.8842469405206318,0.04293151391938712,3.0085068159641475,7.414538936200895
98,0.7668938420667633,0.6041071884903919,Matern32,0.46639506234380906,0.6632365537028021,15.272311900259837,11.718452477411368
99,0.5764013292653364,0.1431377099818115,Matern52,1.4167349548090717,0.0009199276164700773,0.016589466089199326,33.5346355618671
100,0.8465851033564554,0.20137851123120018,Matern32,0.02729074108223485,0.001448381917146038,0.11425775233652329,0.20052983581713268
101,0.5568037832318785,0.23891857437503777,RBF,2.0396400363260874,0.07922676028367549,39.93208226473783,18.12522380085682
102,1.0678042680706776,1.0420709125336205,RationalQuadratic,0.00048147980905580286,0.023069239008092577,0.4643773620543991,1.1153537577205326
103,0.8599074762741987,0.17537386049135611,Matern32,0.30272194662455054,0.0005113867297612065,0.26797000063546117,0.42041825980248076
104,0.8206018317282874,0.5432421033537208,Matern32,0.014944992025437634,0.01456361624805401,6.427457521573755,3.2136056921245952
105,0.8327921702870276,0.7586382741381773,Matern52,0.005408055034019782,0.005888738627364447,20.92190685260266,50.7170054028125
106,0.8068573279449083,0.3927261396061624,Matern32,0.03692441770798188,0.010819945777608725,98.97863608330674,2.1560482522412503
107,0.5796970269307541,0.20477496254619046,RationalQuadratic,0.1805325796970444,0.0038847284890132713,11.212010723179304,9.234275233379439
108,0.8308952634266825,0.1894711127037395,Matern32,0.6796929411141575,0.01862589337269083,17.529742602900036,0.5631516412803826
109,0.8169778561475709,0.32485427679622214,RBF,0.13132149650681466,0.032157797471489266,0.9246231737631874,0.796134241179252
110,0.5647385598892691,0.26817583291615266,Matern32,0.08052376371973023,0.007012655367900617,1.3777090809144532,25.51247624230309
111,0.5471464463210248,0.23842083868393119,Matern52,0.39266730840003894,0.002589161881794885,32.34499327247683,63.03492819588617
112,1.0930205815662648,1.0868833795621693,Matern32,0.0002021298014607082,0.18462251300398735,68.16174636603114,83.08090561171291
113,0.7143716387099956,0.34438242869077385,Matern32,1.02528332918471,0.28265464733508794,47.37051969068302,5.108932398792962
114,1.0928800801285716,1.086517583515981,RationalQuadratic,2.495162185404856e-05,0.05465810680504386,4.03693129293363,19.226013074753595
115,1.0489263850962598,1.0239933031165147,Matern32,5.98215243015266e-05,0.0018136474350038674,13.336179906917762,13.742407617218152
116,0.7686502307252755,0.18327797038418564,RBF,0.23264705576226324,0.0003335055289982736,24.954184178063727,1.3554656596244723
117,0.5568502613006132,0.255789582924682,Matern32,1.7008691594332668,0.09420811977071585,0.6160705946722109,31.726896021167008
118,1.093217886936431,1.0870736518649995,Matern52,1.5314866738021188e-05,0.12774199348466658,0.010862200565418983,37.88104253869472
119,0.9877408092419386,0.9567859730918972,Matern32,0.0019452391808839524,0.0032200891262106177,82.89620212149202,98.86876840760503
