smiles,type,family,molecular_weight
CCCCCn1cc[n+](CCCCC)c1,cation,imidazolium,209.35699999999994
CCCCN1C=C[NH+](C)C1,cation,other N-heterocycle,141.23799999999997
CCCCN1C=C[NH+](CCCC)C1,cation,other N-heterocycle,183.31899999999993
CCCCNC(=O)C[n+]1ccn(CC)c1,cation,imidazolium,210.301
CCCCOC(=O)c1nccc[n+]1CCCC,cation,other N-heterocycle,237.32299999999998
CCCCOCC(O)CN(CCCn1cc[nH+]c1)C(C)=O,cation,imidazolium,298.40700000000004
CCCCOCC(O)CNCCCn1cc[nH+]c1,cation,imidazolium,256.36999999999995
CCCCOC[n+]1cccc(O)c1,cation,pyridinium,182.243
CCCC[N+](C)(C)C,cation,ammonium,116.22799999999998
CCCC[N+](C)(C)C(=N)N(C)C,cation,ammonium,172.296
CCCC[N+](C)(C)CC,cation,ammonium,130.25499999999997
CCCC[N+](C)(CC)CC,cation,ammonium,144.28199999999998
CCCC[N+](C)(CCC)CCC,cation,ammonium,172.33599999999996
CCCC[N+](C)(CCCC)CCCC,cation,ammonium,200.38999999999993
CCCC[N+](CC)(CC)CC,cation,ammonium,158.30899999999997
CCCC[N+](CCCC)(CCCC)CCCC,cation,ammonium,242.4709999999999
CCCC[N+]1(C)CCCC1,cation,pyrrolidinium,142.26599999999996
CCCC[N+]1(C)CCCCC1,cation,piperidinium,156.29299999999995
CCCC[N+]1(C)CCOCC1,cation,morpholinium,158.26499999999996
CCCC[NH+]1C=CN=C1,cation,other N-heterocycle,125.19499999999996
CCCC[NH+]1C=CN=C1c1ccccc1,cation,other N-heterocycle,201.293
CCCC[NH+]1CCCC1,cation,pyrrolidinium,128.23899999999998
CCCC[NH3+],cation,ammonium,74.14699999999999
CCCC[P+](C)(CCCC)CCCC,cation,phosphonium,217.3569999999999
CCCC[P+](CC)(CC)CC,cation,phosphonium,175.27599999999995
CCCC[P+](CC)(CCCC)CCCC,cation,phosphonium,231.3839999999999
CCCC[P+](CCCC)(CCCC)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,cation,phosphonium,549.416
