smiles,type,family,mw,source_properties,source_split_roles,source_files
CCCCCCCC[NH+]1C=CN(C)C1C,cation,other N-heterocycle,211.37300000000002,co2,train;val,train_1_group_co2.csv;train_2_group_co2.csv;train_3_group_co2.csv;train_4_group_co2.csv;val_5_group_co2.csv
CCCCCCCC[P+](CC)(CC)CC,cation,phosphonium,231.38399999999996,vis,test;train;val,test_group_vis.csv;train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv;val_2_group_vis.csv;val_3_group_vis.csv;val_4_group_vis.csv;val_5_group_vis.csv
CCCCCCCC[P+](CCCC)(CCCC)CCCC,cation,phosphonium,315.54600000000005,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv;val_5_group_vis.csv
CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,cation,phosphonium,483.8700000000006,vis,test;train;val,test_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv
CCCCCCCC[n+]1cc(C)cc(C)c1,cation,pyridinium,220.38000000000002,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_3_group_vis.csv
CCCCCCCC[n+]1ccc(C)cc1,cation,pyridinium,206.35300000000004,tox,train;val,train_1_group_tox.csv;train_2_group_tox.csv;train_3_group_tox.csv;train_4_group_tox.csv;train_5_group_tox.csv;val_3_group_tox.csv;val_5_group_tox.csv
CCCCCCCC[n+]1ccc(N(C)C)cc1,cation,pyridinium,235.39500000000004,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;val_5_group_vis.csv
CCCCCCCC[n+]1ccc2ccccc2c1,cation,pyridinium,242.38600000000005,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_5_group_vis.csv;val_4_group_vis.csv
CCCCCCCC[n+]1cccc(C)c1,cation,pyridinium,206.35300000000004,tox;vis,test;train;val,test_group_vis.csv;train_1_group_tox.csv;train_2_group_tox.csv;train_3_group_tox.csv;train_4_group_tox.csv;val_5_group_tox.csv
CCCCCCCC[n+]1cccc(C)c1C,cation,pyridinium,220.38000000000002,vis,train;val,train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv
