cation,anion
C=CC[N+](C)(C)CC,CC(O)C(=O)[O-]
C=CC[N+](C)(C)CC,CC(O)C(N)C(=O)[O-]
C=CC[N+](C)(C)CC,CC(Oc1ccc(Cl)cc1Cl)C(=O)[O-]
C=CC[N+](C)(C)CC,CC1(C(=O)[O-])CCCN1
C=CC[N+](C)(C)CC,CC1=CC(=O)[N-]S(=O)(=O)O1
C=CC[N+](C)(C)CC,CCC(=O)[O-]
C=CC[N+](C)(C)CC,CCC(C)C(NC(C)=O)C(=O)[O-]
C=CC[N+](C)(C)CC,CCC(CC)C(=O)[O-]
C=CC[N+](C)(C)CC,CCCC(=O)[O-]
C=CC[N+](C)(C)CC,CCCCC(=O)[O-]
C=CC[N+](C)(C)CC,CCCCC(CC)CCC(=O)[O-]
C=CC[N+](C)(C)CC,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-]
C=CC[N+](C)(C)CC,CCCCCC(=O)[O-]
C=CC[N+](C)(C)CC,CCCCCCC(=O)[O-]
C=CC[N+](C)(C)CC,CCCCCCCC(=O)[O-]
C=CC[N+](C)(C)CC,CCCCCCCCC=CCCCCCCCC(=O)[O-]
C=CC[N+](C)(C)CC,CCCCCCCCCC(=O)[O-]
C=CC[N+](C)(C)CC,CCCCCCCCCCCCOS(=O)(=O)[O-]
C=CC[N+](C)(C)CC,CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1
C=CC[N+](C)(C)CC,CCCCCCCCCCCCc1ccccc1S(=O)(=O)[O-]
C=CC[N+](C)(C)CC,CCCCCCCCCCOS(=O)(=O)[O-]
C=CC[N+](C)(C)CC,CCCCCCCCOS(=O)(=O)[O-]
C=CC[N+](C)(C)CC,CCCCCCOS(=O)(=O)[O-]
C=CC[N+](C)(C)CC,CCCCOS(=O)(=O)[O-]
