setting,rank,candidate_index,score,is_pareto_within_top50,cation,anion,co2_pred,vis_pred,tox_pred
two_objective,36,59078,0.27740774830438414,False,C[NH3+],O=C([O-])C1CCCN1,0.45227654690678504,-1.8943395614624023,3.930793523788452
two_objective,37,58706,0.26826407100337096,False,C[NH+]1CCCC1=O,CCCCCCCCCCCCOS(=O)(=O)[O-],0.23280054193729233,-3.7113866806030273,2.817189931869507
two_objective,38,49806,0.2620119776230474,False,CCn1cc[nH+]c1,O=C([O-])C1CCCN1,0.45810427789686,-2.0687475204467773,3.902486562728882
two_objective,39,57918,0.2593958441915129,True,C[NH+](C)C,CC(=O)CCC(=O)[O-],0.23580017120517952,-5.046103477478027,3.6440083980560303
two_objective,40,37564,0.24903312643510186,False,CCC[NH+](C)C,CC1(C(=O)[O-])CCCN1,0.4333277462528391,-2.1936254501342773,3.6282918453216553
two_objective,41,58774,0.2478602300250329,False,C[NH+]1CCCC1=O,O=C([O-])C1CCCN1,0.4447272685879749,-2.3492040634155273,3.740037679672241
two_objective,42,476,0.23973084698595082,False,C=CC[NH+](C)C,CC1(C(=O)[O-])CCCN1,0.3796261154122761,-2.318121910095215,3.7303483486175537
two_objective,43,35740,0.23888543223777733,False,CCCCn1ccc[n+]1C,CC1(C(=O)[O-])CCCN1,0.44481163193383777,-1.8452520370483398,3.4269120693206787
two_objective,44,41212,0.23863839027111955,False,CCOCC[NH+](C)C,CC1(C(=O)[O-])CCCN1,0.423955973658538,-2.2030248641967773,4.026969909667969
two_objective,45,19489,0.2350110251693394,False,CCCCCC[NH+](CCCCCC)CCCCCC,CCCCCCCCCC(=O)[O-],0.21649509221089505,-3.9475622177124023,2.00217604637146
two_objective,46,38241,0.2297372184056263,False,CCC[S+]1CCCC1,NCC(=O)[O-],0.42242184709068015,-2.281317710876465,3.6493661403656006
two_objective,47,59065,0.22814644533892922,False,C[NH3+],NCC(=O)[O-],0.39408838327761125,-2.7547826766967773,3.7652642726898193
two_objective,48,58622,0.22770686933804477,False,C[NH+]1C=CN=C1,O=C([O-])C1CCCN1,0.36029711706519674,-2.30222225189209,3.676044225692749
two_objective,49,3972,0.22604105349909992,False,CC(C)[n+]1ccn(C)c1,CC1(C(=O)[O-])CCCN1,0.43871783118079405,-1.9471197128295898,3.483537435531616
