smiles,type,family,tsne_1,tsne_2
CCCC[n+]1ccn(C)c1C,cation,imidazolium,-3.555177927017212,4.299683094024658
CCCC[n+]1ccn(C2CCCC2)c1,cation,imidazolium,-1.088529109954834,5.253381729125977
CCCC[n+]1ccn(CC)c1,cation,imidazolium,1.3831748962402344,8.930356979370117
CCCC[n+]1ccn(CCC#N)c1,cation,imidazolium,2.4182121753692627,6.017282962799072
CCCC[n+]1ccn(Cc2ccc(C)cc2)c1,cation,imidazolium,0.9866936802864075,21.655282974243164
CCCC[n+]1ccn(Cc2ccccc2)c1,cation,imidazolium,11.188246726989746,23.309282302856445
CCCCc1cccc[n+]1CC,cation,pyridinium,8.7239351272583,15.987531661987305
CCCCn1c(C)cc(C)[n+]1-c1ccccc1,cation,pyrazolium,11.255520820617676,18.46612548828125
CCCCn1c[n+](CCCCS(=O)(=O)O)cn1,cation,other N-heterocycle,6.3298821449279785,7.5782084465026855
CCCCn1c[nH+]c2ccccc21,cation,imidazolium,9.109307289123535,20.708707809448242
CCCCn1cc[n+](C)c1,cation,imidazolium,-6.794012546539307,14.186898231506348
CCCCn1cc[n+](C)c1C,cation,imidazolium,-3.1500191688537598,2.707693099975586
CCCCn1cc[n+](CC)c1,cation,imidazolium,0.336582213640213,10.442870140075684
CCCCn1cc[n+](CCC#N)c1,cation,imidazolium,2.4267494678497314,5.993040561676025
CCCCn1cc[n+](CCC(C)C)c1,cation,imidazolium,2.76224422454834,7.7108917236328125
CCCCn1cc[n+](CCCC)c1,cation,imidazolium,5.360515594482422,4.785586833953857
CCCCn1cc[n+](CCCCCCO)c1,cation,imidazolium,11.244536399841309,2.2507216930389404
CCCCn1cc[n+](CCCCS(=O)(=O)O)c1,cation,imidazolium,5.859360694885254,6.918535232543945
CCCCn1cc[n+](CCCS(=O)(=O)O)c1,cation,imidazolium,5.5434889793396,6.991116523742676
CCCCn1ccc[n+]1C,cation,pyrazolium,1.3801548480987549,11.74556827545166
CCCOCC[N+]1(C)CCCC1,cation,pyrrolidinium,-25.989164352416992,-28.80541229248047
CCCOCC[n+]1ccccc1,cation,pyridinium,18.99570083618164,20.077821731567383
CCCOCC[n+]1ccn(C)c1,cation,imidazolium,-1.7452976703643799,9.026185035705566
CCCOC[n+]1cccc(O)c1,cation,pyridinium,6.954188823699951,13.146681785583496
CCC[N+](C)(C)CC,cation,ammonium,-2.843318462371826,-13.747920036315918
CCC[N+](C)(C)CCO,cation,ammonium,-4.023813247680664,-12.974846839904785
CCC[N+](C)(CC)CC,cation,ammonium,-0.21384015679359436,-13.930707931518555
CCC[N+](C)(CC)CCC,cation,ammonium,0.7022441625595093,-13.607644081115723
CCC[N+]1(C)CCCC1,cation,pyrrolidinium,-25.0183162689209,-26.22270965576172
CCC[N+]1(C)CCCCC1,cation,piperidinium,-24.630701065063477,-26.452102661132812
CCC[N+]1(C)CCOCC1,cation,morpholinium,-17.787826538085938,-24.708681106567383
CCC[NH+](C)C,cation,ammonium,-12.396703720092773,-8.74934196472168
CCC[NH+](C)CCC,cation,ammonium,-7.608395576477051,-9.95358943939209
CCC[NH+](CC)CC,cation,ammonium,-6.365790843963623,-9.333356857299805
CCC[NH3+],cation,ammonium,-9.086935043334961,-6.609224796295166
CCC[S+]1CCCC1,cation,sulfonium,-24.142845153808594,-19.161542892456055
CCC[n+]1cccc(C)c1,cation,pyridinium,4.477415084838867,16.916492462158203
CCC[n+]1ccccc1,cation,pyridinium,17.151382446289062,20.774057388305664
CCC[n+]1ccn(C)c1C,cation,imidazolium,-4.36548376083374,4.4676194190979
CCC[n+]1cn(C)cn1,cation,other N-heterocycle,-5.402886390686035,5.792491436004639
CCCc1cccc[n+]1CC,cation,pyridinium,8.146814346313477,16.83635711669922
CCCn1cc[n+](C)c1,cation,imidazolium,-7.418636322021484,12.84832763671875
CCCn1cc[n+](C)c1C,cation,imidazolium,-4.467641830444336,3.0146214962005615
CCCn1cc[n+](CC)c1,cation,imidazolium,-0.39234042167663574,10.949068069458008
CCN(CC)c1c(N(CC)CC)[c+]1N(CC)CC,cation,other,0.8720542788505554,-18.366926193237305
CCN=C(N(C)C)[NH+](C)C,cation,ammonium,-14.761613845825195,-9.310187339782715
CCOC(=O)C[N+](C)(C)CC,cation,ammonium,-3.6546339988708496,-14.990030288696289
CCOC(=O)C[N+]1(C)CCCC1,cation,pyrrolidinium,-27.100963592529297,-25.93366813659668
CCOC(=O)C[n+]1ccccc1,cation,pyridinium,17.90673828125,22.26494598388672
CCOC(=O)Cn1cc[n+](C)c1,cation,imidazolium,-7.728255748748779,12.067305564880371
CCOC(=O)c1ccc[n+](CC)c1,cation,pyridinium,5.239377498626709,17.651941299438477
CCOCC[N+](C)(C)CC,cation,ammonium,-2.525209665298462,-14.616622924804688
CCOCC[N+]1(C)CCCC1,cation,pyrrolidinium,-26.39316177368164,-27.655590057373047
CCOCC[N+]1(C)CCCCC1,cation,piperidinium,-26.81369400024414,-27.963281631469727
CCOCC[N+]1(C)CCOCC1,cation,morpholinium,-18.871707916259766,-24.690563201904297
CCOCC[NH+](C)C,cation,ammonium,-12.178878784179688,-9.617725372314453
CCOCC[n+]1ccccc1,cation,pyridinium,18.567367553710938,20.99173927307129
CCOCCn1cc[n+](C)c1,cation,imidazolium,-6.24293327331543,12.186101913452148
CCOCCn1cc[n+](CC)c1,cation,imidazolium,-0.7535275816917419,11.893025398254395
CCOC[N+](C)(C)CC,cation,ammonium,-3.160503625869751,-14.605548858642578
CCOC[N+]1(C)CCCC1,cation,pyrrolidinium,-26.768016815185547,-26.642375946044922
CCOC[N+]1(C)CCCCC1,cation,piperidinium,-27.281213760375977,-27.000564575195312
CCOC[N+]1(C)CCOCC1,cation,morpholinium,-18.67439842224121,-24.076147079467773
CCOC[P+](CC)(CC)CC,cation,phosphonium,3.523017168045044,-19.56958770751953
CCOC[n+]1ccccc1,cation,pyridinium,17.937070846557617,21.536462783813477
CCOC[n+]1ccn(C)c1,cation,imidazolium,-4.315608501434326,9.136491775512695
CCOCn1cc[n+](C)c1,cation,imidazolium,-6.832431793212891,11.619274139404297
CCOn1cc[n+](OCC)c1,cation,imidazolium,-5.134344577789307,10.374590873718262
CCS(=O)(=O)CCn1cc[n+](C)c1,cation,imidazolium,-8.883353233337402,15.40981674194336
