property,source_partition,source_record_id,cation,anion,canonical_group,decision,cation_charge,anion_charge,valid,reason
co2,non_test,4056,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,4069,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,4075,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,4457,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,4479,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,4517,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,4571,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,4641,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,4750,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,4871,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,4993,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,5196,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,5198,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,5460,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,5507,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,5508,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,5509,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,5511,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,5513,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,5514,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,5518,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,5521,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,5523,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,5526,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,6687,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,6693,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,6922,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,6938,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,6957,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
