trial,cv_rmse,train_rmse,kernel_name,kernel_variance,likelihood_noise_variance,ls_an,ls_cat,ls_env_0,ls_env_1
89,0.1867911775902212,0.17445481239460198,Matern32,1.4728873457374286e-06,1.126918767938765e-05,29.48736656958306,29.275748332805577,0.24073312281813172,2.3037394815108487
90,0.16147067188557918,0.06977750340702658,RationalQuadratic,0.0001301773418214978,1.4225585966861569e-05,0.05825625542239871,5.066702940599754,31.024195741324107,0.9150361540873069
91,0.08890293451997135,0.033989777237423045,RationalQuadratic,0.0018347875334241406,6.929019349721576e-05,10.606796352314253,15.883362914793686,1.1598581599042133,0.6030018570560574
92,62.75001973418857,549.1545317197243,RBF,0.006802804562645819,0.00011107046810380009,6.103037339565743,0.016257109878864244,0.6304381691649243,1.4853375269239855
93,186.8208385250029,178.21442666038703,Matern52,0.004297893028994752,2.6365476969636387e-05,64.9555080322749,0.09779970005480917,2.381208031389861,0.3695707371689867
94,0.13395517132821386,0.06879184544098431,RationalQuadratic,0.010474349441897861,8.699876829972458e-05,42.11012089266262,2.4468712241561126,0.8144950968345116,6.667534703573354
95,0.14450416910849506,0.10560000630657211,Matern32,0.0005428759727311326,4.9838969744450336e-05,81.59019264956581,10.777337002862623,58.64706243054963,21.49741070952813
96,0.09440702968497314,0.02476589820937224,RationalQuadratic,0.05011318126316284,2.0259968895503e-05,16.605072269122868,40.885906835771046,0.17576704735529716,0.5866217450961725
97,0.19850128311135457,0.02037481485162174,RationalQuadratic,0.02270557183163515,3.872213265843112e-05,0.8260267219145792,1.0713010850004874,0.38197923502403297,0.28010533443810565
98,0.1073766964260777,0.032570618851001584,RationalQuadratic,0.07114209835966404,7.3442139043676084e-06,2.14989721344683,95.9159319988337,1.639151301410702,1.1194435951805248
99,0.14225332664364057,0.044187761622960856,RBF,0.002536646965171388,0.00033399263846257965,32.27695134586821,1.7473418844779602,3.9191088693821916,0.7451937863683679
100,47.89952413358769,735.6352730928879,Matern52,0.013913922776526486,5.771004172229218e-06,4.34931202029166,0.036125180631692774,7.816628576392414,0.16768310184477564
101,0.12792047687368052,0.05267846440113192,RationalQuadratic,7.736805401008323e-05,5.692673244870893e-05,0.303584806977497,19.629540179545206,0.5622284597504372,0.43981019016886425
102,0.17472354890527692,0.061127733259152675,Matern32,0.030011085000015023,0.00016889805880009674,1.2967361560066286,8.04056296205258,4.929262290056553,12.318109790723167
103,0.11667268288382895,0.0442827552565508,RationalQuadratic,0.0011181746817065807,1.2871375549027983e-05,6.151635031639075,3.433143991212263,1.2073759786895775,1.3824865613073976
104,0.17294764438264082,0.12329102250478599,RationalQuadratic,1.556700771057174e-05,9.58573906905351e-06,2.6798768146417298,5.823548656661903,11.957049006945637,2.8559298749376474
105,0.20666442132151372,0.13637416226210228,RationalQuadratic,0.0007790840939047642,0.0001344962491366565,0.017301770093429383,54.7288967187672,0.04564040175773413,45.4068544347143
106,263.6141670047544,366.0060703995038,Matern52,0.0100772967875052,3.264492679954985e-05,58.980824251467446,0.2115977644667977,6.925652315092165,3.9846642607978153
107,0.10210421262062472,0.03863599014145459,RBF,0.043440688752186776,0.00023365021758581898,25.158727810257425,71.95446045542522,0.2750605059483908,1.893835031330719
108,0.19331504450952403,0.125746060678451,RationalQuadratic,4.156016504692968e-06,1.6047157511089726e-05,0.44667662483589765,4.033796233659622,2.2632790324605803,0.5341649236207935
